"Geslacht";"Leeftijd";"Gestandaardiseerd inkomen";"Zorgvorm Zvw-zorgkosten";"Perioden";"Gemiddelde zorgkosten volgens de Zvw (euro)";"Personen met Zvw-zorgkosten, relatief (%)"
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"3e 10%-inkomensgroep";"Farmacie";"2021";"     317";"    66.1"
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"3e 10%-inkomensgroep";"Farmacie";"2022";"     333";"    67.1"
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"3e 10%-inkomensgroep";"Farmacie";"2023*";"     340";"    67.0"
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"3e 10%-inkomensgroep";"Geestelijke gezondheidszorg-ZPM";"2009";"";""
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"3e 10%-inkomensgroep";"Geestelijke gezondheidszorg-ZPM";"2010";"";""
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"3e 10%-inkomensgroep";"Geestelijke gezondheidszorg-ZPM";"2011";"";""
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"3e 10%-inkomensgroep";"Geestelijke gezondheidszorg-ZPM";"2012";"";""
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"3e 10%-inkomensgroep";"Geestelijke gezondheidszorg-ZPM";"2013";"";""
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"3e 10%-inkomensgroep";"Geestelijke gezondheidszorg-ZPM";"2014";"";""
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"3e 10%-inkomensgroep";"Geestelijke gezondheidszorg-ZPM";"2015";"";""
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"3e 10%-inkomensgroep";"Geestelijke gezondheidszorg-ZPM";"2016";"";""
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"3e 10%-inkomensgroep";"Geestelijke gezondheidszorg-ZPM";"2017";"";""
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"3e 10%-inkomensgroep";"Geestelijke gezondheidszorg-ZPM";"2018";"";""
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"3e 10%-inkomensgroep";"Geestelijke gezondheidszorg-ZPM";"2019";"";""
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"3e 10%-inkomensgroep";"Geestelijke gezondheidszorg-ZPM";"2020";"";""
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"3e 10%-inkomensgroep";"Geestelijke gezondheidszorg-ZPM";"2021";"";""
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"3e 10%-inkomensgroep";"Geestelijke gezondheidszorg-ZPM";"2022";"     291";"     5.8"
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"3e 10%-inkomensgroep";"Geestelijke gezondheidszorg-ZPM";"2023*";"     329";"     6.1"
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"4e 10%-inkomensgroep";"Ziekenhuiszorg";"2009";"    1137";"       ."
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"4e 10%-inkomensgroep";"Ziekenhuiszorg";"2010";"    1178";"       ."
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"4e 10%-inkomensgroep";"Ziekenhuiszorg";"2011";"    1194";"       ."
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"4e 10%-inkomensgroep";"Ziekenhuiszorg";"2012";"    1236";"       ."
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"4e 10%-inkomensgroep";"Ziekenhuiszorg";"2013";"    1296";"       ."
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"4e 10%-inkomensgroep";"Ziekenhuiszorg";"2014";"    1309";"       ."
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"4e 10%-inkomensgroep";"Ziekenhuiszorg";"2015";"    1271";"       ."
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"4e 10%-inkomensgroep";"Ziekenhuiszorg";"2016";"    1337";"       ."
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"4e 10%-inkomensgroep";"Ziekenhuiszorg";"2017";"    1342";"    58.7"
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"4e 10%-inkomensgroep";"Ziekenhuiszorg";"2018";"    1381";"    59.2"
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"4e 10%-inkomensgroep";"Ziekenhuiszorg";"2019";"    1430";"    59.3"
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"4e 10%-inkomensgroep";"Ziekenhuiszorg";"2020";"    1339";"    54.7"
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"4e 10%-inkomensgroep";"Ziekenhuiszorg";"2021";"    1484";"    56.9"
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"4e 10%-inkomensgroep";"Ziekenhuiszorg";"2022";"    1541";"    58.3"
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"4e 10%-inkomensgroep";"Ziekenhuiszorg";"2023*";"    1647";"    59.3"
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"4e 10%-inkomensgroep";"Farmacie";"2009";"     322";"       ."
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"4e 10%-inkomensgroep";"Farmacie";"2010";"     330";"       ."
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"4e 10%-inkomensgroep";"Farmacie";"2011";"     329";"       ."
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"4e 10%-inkomensgroep";"Farmacie";"2012";"     289";"       ."
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"4e 10%-inkomensgroep";"Farmacie";"2013";"     272";"       ."
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"4e 10%-inkomensgroep";"Farmacie";"2014";"     274";"       ."
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"4e 10%-inkomensgroep";"Farmacie";"2015";"     283";"       ."
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"4e 10%-inkomensgroep";"Farmacie";"2016";"     277";"       ."
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"4e 10%-inkomensgroep";"Farmacie";"2017";"     277";"    68.0"
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"4e 10%-inkomensgroep";"Farmacie";"2018";"     277";"    68.3"
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"4e 10%-inkomensgroep";"Farmacie";"2019";"     283";"    67.9"
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"4e 10%-inkomensgroep";"Farmacie";"2020";"     288";"    65.1"
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"4e 10%-inkomensgroep";"Farmacie";"2021";"     284";"    65.7"
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"4e 10%-inkomensgroep";"Farmacie";"2022";"     305";"    66.8"
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"4e 10%-inkomensgroep";"Farmacie";"2023*";"     307";"    66.9"
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"4e 10%-inkomensgroep";"Geestelijke gezondheidszorg-ZPM";"2009";"";""
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"4e 10%-inkomensgroep";"Geestelijke gezondheidszorg-ZPM";"2010";"";""
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"4e 10%-inkomensgroep";"Geestelijke gezondheidszorg-ZPM";"2011";"";""
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"4e 10%-inkomensgroep";"Geestelijke gezondheidszorg-ZPM";"2012";"";""
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"4e 10%-inkomensgroep";"Geestelijke gezondheidszorg-ZPM";"2013";"";""
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"4e 10%-inkomensgroep";"Geestelijke gezondheidszorg-ZPM";"2014";"";""
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"4e 10%-inkomensgroep";"Geestelijke gezondheidszorg-ZPM";"2015";"";""
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"4e 10%-inkomensgroep";"Geestelijke gezondheidszorg-ZPM";"2016";"";""
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"4e 10%-inkomensgroep";"Geestelijke gezondheidszorg-ZPM";"2017";"";""
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"4e 10%-inkomensgroep";"Geestelijke gezondheidszorg-ZPM";"2018";"";""
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"4e 10%-inkomensgroep";"Geestelijke gezondheidszorg-ZPM";"2019";"";""
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"4e 10%-inkomensgroep";"Geestelijke gezondheidszorg-ZPM";"2020";"";""
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"4e 10%-inkomensgroep";"Geestelijke gezondheidszorg-ZPM";"2021";"";""
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"4e 10%-inkomensgroep";"Geestelijke gezondheidszorg-ZPM";"2022";"     239";"     5.2"
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"4e 10%-inkomensgroep";"Geestelijke gezondheidszorg-ZPM";"2023*";"     267";"     5.5"
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"5e 10%-inkomensgroep";"Ziekenhuiszorg";"2009";"    1111";"       ."
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"5e 10%-inkomensgroep";"Ziekenhuiszorg";"2010";"    1134";"       ."
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"5e 10%-inkomensgroep";"Ziekenhuiszorg";"2011";"    1156";"       ."
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"5e 10%-inkomensgroep";"Ziekenhuiszorg";"2012";"    1201";"       ."
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"5e 10%-inkomensgroep";"Ziekenhuiszorg";"2013";"    1255";"       ."
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"5e 10%-inkomensgroep";"Ziekenhuiszorg";"2014";"    1267";"       ."
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"5e 10%-inkomensgroep";"Ziekenhuiszorg";"2015";"    1216";"       ."
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"5e 10%-inkomensgroep";"Ziekenhuiszorg";"2016";"    1274";"       ."
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"5e 10%-inkomensgroep";"Ziekenhuiszorg";"2017";"    1292";"    58.3"
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"5e 10%-inkomensgroep";"Ziekenhuiszorg";"2018";"    1330";"    58.7"
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"5e 10%-inkomensgroep";"Ziekenhuiszorg";"2019";"    1367";"    58.8"
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"5e 10%-inkomensgroep";"Ziekenhuiszorg";"2020";"    1288";"    54.3"
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"5e 10%-inkomensgroep";"Ziekenhuiszorg";"2021";"    1430";"    56.5"
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"5e 10%-inkomensgroep";"Ziekenhuiszorg";"2022";"    1477";"    58.0"
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"5e 10%-inkomensgroep";"Ziekenhuiszorg";"2023*";"    1583";"    59.0"
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"5e 10%-inkomensgroep";"Farmacie";"2009";"     310";"       ."
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"5e 10%-inkomensgroep";"Farmacie";"2010";"     316";"       ."
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"5e 10%-inkomensgroep";"Farmacie";"2011";"     310";"       ."
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"5e 10%-inkomensgroep";"Farmacie";"2012";"     272";"       ."
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"5e 10%-inkomensgroep";"Farmacie";"2013";"     254";"       ."
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"5e 10%-inkomensgroep";"Farmacie";"2014";"     255";"       ."
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"5e 10%-inkomensgroep";"Farmacie";"2015";"     259";"       ."
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"5e 10%-inkomensgroep";"Farmacie";"2016";"     255";"       ."
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"5e 10%-inkomensgroep";"Farmacie";"2017";"     253";"    67.5"
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"5e 10%-inkomensgroep";"Farmacie";"2018";"     259";"    67.8"
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"5e 10%-inkomensgroep";"Farmacie";"2019";"     265";"    67.3"
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"5e 10%-inkomensgroep";"Farmacie";"2020";"     268";"    64.7"
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"5e 10%-inkomensgroep";"Farmacie";"2021";"     262";"    65.1"
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"5e 10%-inkomensgroep";"Farmacie";"2022";"     282";"    66.4"
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"5e 10%-inkomensgroep";"Farmacie";"2023*";"     289";"    66.7"
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"5e 10%-inkomensgroep";"Geestelijke gezondheidszorg-ZPM";"2009";"";""
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"5e 10%-inkomensgroep";"Geestelijke gezondheidszorg-ZPM";"2010";"";""
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"5e 10%-inkomensgroep";"Geestelijke gezondheidszorg-ZPM";"2011";"";""
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"5e 10%-inkomensgroep";"Geestelijke gezondheidszorg-ZPM";"2012";"";""
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"5e 10%-inkomensgroep";"Geestelijke gezondheidszorg-ZPM";"2013";"";""
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"5e 10%-inkomensgroep";"Geestelijke gezondheidszorg-ZPM";"2014";"";""
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"5e 10%-inkomensgroep";"Geestelijke gezondheidszorg-ZPM";"2015";"";""
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"5e 10%-inkomensgroep";"Geestelijke gezondheidszorg-ZPM";"2016";"";""
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"5e 10%-inkomensgroep";"Geestelijke gezondheidszorg-ZPM";"2017";"";""
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"5e 10%-inkomensgroep";"Geestelijke gezondheidszorg-ZPM";"2018";"";""
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"5e 10%-inkomensgroep";"Geestelijke gezondheidszorg-ZPM";"2019";"";""
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"5e 10%-inkomensgroep";"Geestelijke gezondheidszorg-ZPM";"2020";"";""
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"5e 10%-inkomensgroep";"Geestelijke gezondheidszorg-ZPM";"2021";"";""
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"5e 10%-inkomensgroep";"Geestelijke gezondheidszorg-ZPM";"2022";"     206";"     4.7"
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"5e 10%-inkomensgroep";"Geestelijke gezondheidszorg-ZPM";"2023*";"     228";"     5.0"
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"6e 10%-inkomensgroep";"Ziekenhuiszorg";"2009";"    1080";"       ."
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"6e 10%-inkomensgroep";"Ziekenhuiszorg";"2010";"    1111";"       ."
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"6e 10%-inkomensgroep";"Ziekenhuiszorg";"2011";"    1127";"       ."
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"6e 10%-inkomensgroep";"Ziekenhuiszorg";"2012";"    1176";"       ."
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"6e 10%-inkomensgroep";"Ziekenhuiszorg";"2013";"    1222";"       ."
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"6e 10%-inkomensgroep";"Ziekenhuiszorg";"2014";"    1235";"       ."
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"6e 10%-inkomensgroep";"Ziekenhuiszorg";"2015";"    1195";"       ."
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"6e 10%-inkomensgroep";"Ziekenhuiszorg";"2016";"    1249";"       ."
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"6e 10%-inkomensgroep";"Ziekenhuiszorg";"2017";"    1265";"    58.2"
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"6e 10%-inkomensgroep";"Ziekenhuiszorg";"2018";"    1296";"    58.6"
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"6e 10%-inkomensgroep";"Ziekenhuiszorg";"2019";"    1340";"    58.9"
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"6e 10%-inkomensgroep";"Ziekenhuiszorg";"2020";"    1265";"    54.3"
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"6e 10%-inkomensgroep";"Ziekenhuiszorg";"2021";"    1405";"    56.6"
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"6e 10%-inkomensgroep";"Ziekenhuiszorg";"2022";"    1447";"    58.0"
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"6e 10%-inkomensgroep";"Ziekenhuiszorg";"2023*";"    1547";"    59.1"
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"6e 10%-inkomensgroep";"Farmacie";"2009";"     298";"       ."
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"6e 10%-inkomensgroep";"Farmacie";"2010";"     303";"       ."
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"6e 10%-inkomensgroep";"Farmacie";"2011";"     300";"       ."
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"6e 10%-inkomensgroep";"Farmacie";"2012";"     262";"       ."
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"6e 10%-inkomensgroep";"Farmacie";"2013";"     243";"       ."
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"6e 10%-inkomensgroep";"Farmacie";"2014";"     240";"       ."
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"6e 10%-inkomensgroep";"Farmacie";"2015";"     245";"       ."
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"6e 10%-inkomensgroep";"Farmacie";"2016";"     241";"       ."
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"6e 10%-inkomensgroep";"Farmacie";"2017";"     241";"    67.2"
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"6e 10%-inkomensgroep";"Farmacie";"2018";"     242";"    67.5"
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"6e 10%-inkomensgroep";"Farmacie";"2019";"     251";"    67.2"
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"6e 10%-inkomensgroep";"Farmacie";"2020";"     257";"    64.4"
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"6e 10%-inkomensgroep";"Farmacie";"2021";"     252";"    65.0"
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"6e 10%-inkomensgroep";"Farmacie";"2022";"     272";"    66.2"
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"6e 10%-inkomensgroep";"Farmacie";"2023*";"     277";"    66.5"
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"6e 10%-inkomensgroep";"Geestelijke gezondheidszorg-ZPM";"2009";"";""
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"6e 10%-inkomensgroep";"Geestelijke gezondheidszorg-ZPM";"2010";"";""
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"6e 10%-inkomensgroep";"Geestelijke gezondheidszorg-ZPM";"2011";"";""
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"6e 10%-inkomensgroep";"Geestelijke gezondheidszorg-ZPM";"2012";"";""
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"6e 10%-inkomensgroep";"Geestelijke gezondheidszorg-ZPM";"2013";"";""
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"6e 10%-inkomensgroep";"Geestelijke gezondheidszorg-ZPM";"2014";"";""
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"6e 10%-inkomensgroep";"Geestelijke gezondheidszorg-ZPM";"2015";"";""
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"6e 10%-inkomensgroep";"Geestelijke gezondheidszorg-ZPM";"2016";"";""
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"6e 10%-inkomensgroep";"Geestelijke gezondheidszorg-ZPM";"2017";"";""
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"6e 10%-inkomensgroep";"Geestelijke gezondheidszorg-ZPM";"2018";"";""
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"6e 10%-inkomensgroep";"Geestelijke gezondheidszorg-ZPM";"2019";"";""
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"6e 10%-inkomensgroep";"Geestelijke gezondheidszorg-ZPM";"2020";"";""
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"6e 10%-inkomensgroep";"Geestelijke gezondheidszorg-ZPM";"2021";"";""
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"6e 10%-inkomensgroep";"Geestelijke gezondheidszorg-ZPM";"2022";"     185";"     4.5"
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"6e 10%-inkomensgroep";"Geestelijke gezondheidszorg-ZPM";"2023*";"     202";"     4.7"
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"7e 10%-inkomensgroep";"Ziekenhuiszorg";"2009";"    1059";"       ."
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"7e 10%-inkomensgroep";"Ziekenhuiszorg";"2010";"    1081";"       ."
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"7e 10%-inkomensgroep";"Ziekenhuiszorg";"2011";"    1104";"       ."
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"7e 10%-inkomensgroep";"Ziekenhuiszorg";"2012";"    1151";"       ."
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"7e 10%-inkomensgroep";"Ziekenhuiszorg";"2013";"    1197";"       ."
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"7e 10%-inkomensgroep";"Ziekenhuiszorg";"2014";"    1209";"       ."
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"7e 10%-inkomensgroep";"Ziekenhuiszorg";"2015";"    1163";"       ."
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"7e 10%-inkomensgroep";"Ziekenhuiszorg";"2016";"    1225";"       ."
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"7e 10%-inkomensgroep";"Ziekenhuiszorg";"2017";"    1237";"    58.2"
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"7e 10%-inkomensgroep";"Ziekenhuiszorg";"2018";"    1273";"    58.6"
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"7e 10%-inkomensgroep";"Ziekenhuiszorg";"2019";"    1314";"    58.8"
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"7e 10%-inkomensgroep";"Ziekenhuiszorg";"2020";"    1237";"    54.3"
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"7e 10%-inkomensgroep";"Ziekenhuiszorg";"2021";"    1373";"    56.7"
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"7e 10%-inkomensgroep";"Ziekenhuiszorg";"2022";"    1422";"    58.1"
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"7e 10%-inkomensgroep";"Ziekenhuiszorg";"2023*";"    1533";"    59.2"
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"7e 10%-inkomensgroep";"Farmacie";"2009";"     292";"       ."
